Analyzing c:\Users\zaxod\OneDrive\Documents\APPS\financial-dashboard\backend\uploads\PME_Cabanes_Detaille.xlsx...
Columns found: ['Date', 'Type', 'Description', 'Montant (€)', 'Catégorie', 'Mois']
Mapped columns: {'date': 'date', 'amount': 'montant (€)', 'description': 'description', 'category': 'catégorie'}

--- ALL Transactions ---
Idx | RawDate | ParsedDate | Description | RawAmount | ParsedAmount | Type | FinalAmount
0 | 2025-01-07 | 2025-07-01 | Vente cabane de jardin | 7653 | 7653 | SALE | 7653
1 | 2025-01-06 | 2025-06-01 | Vente cabane de jardin | 4680 | 4680 | SALE | 4680
2 | 2025-01-28 | 2025-01-28 | Vente cabane de jardin | 7243 | 7243 | SALE | 7243
3 | 2025-01-22 | 2025-01-22 | Vente cabane de jardin | 9464 | 9464 | SALE | 9464
4 | 2025-01-03 | 2025-03-01 | Vente cabane de jardin | 9742 | 9742 | SALE | 9742
5 | 2025-01-04 | 2025-04-01 | Vente cabane de jardin | 7223 | 7223 | SALE | 7223
6 | 2025-01-28 | 2025-01-28 | Vente cabane de jardin | 11781 | 11781 | SALE | 11781
7 | 2025-01-20 | 2025-01-20 | Vente cabane de jardin | 8353 | 8353 | SALE | 8353
8 | 2025-01-21 | 2025-01-21 | Vente cabane de jardin | 13694 | 13694 | SALE | 13694
9 | 2025-01-01 | 2025-01-01 | Vente cabane de jardin | 4472 | 4472 | SALE | 4472
10 | 2025-01-25 | 2025-01-25 | Vente cabane de jardin | 5749 | 5749 | SALE | 5749
11 | 2025-01-03 | 2025-03-01 | Vente cabane de jardin | 8325 | 8325 | SALE | 8325
12 | 2025-01-17 | 2025-01-17 | Vente cabane de jardin | 14668 | 14668 | SALE | 14668
13 | 2025-01-22 | 2025-01-22 | Vente cabane de jardin | 8163 | 8163 | SALE | 8163
14 | 2025-01-23 | 2025-01-23 | Vente cabane de jardin | 13018 | 13018 | SALE | 13018
15 | 2025-01-15 | 2025-01-15 | Vente cabane de jardin | 4729 | 4729 | SALE | 4729
16 | 2025-01-23 | 2025-01-23 | Vente cabane de jardin | 11041 | 11041 | SALE | 11041
17 | 2025-01-28 | 2025-01-28 | Achat marchandises (cabane) | 2416 | 2416 | PURCHASE | -2416
18 | 2025-01-05 | 2025-05-01 | Achat marchandises (cabane) | 3433 | 3433 | PURCHASE | -3433
19 | 2025-01-05 | 2025-05-01 | Achat marchandises (cabane) | 2644 | 2644 | PURCHASE | -2644
20 | 2025-01-11 | 2025-11-01 | Achat marchandises (cabane) | 4990 | 4990 | PURCHASE | -4990
21 | 2025-01-05 | 2025-05-01 | Achat marchandises (cabane) | 3140 | 3140 | PURCHASE | -3140
22 | 2025-01-06 | 2025-06-01 | Achat marchandises (cabane) | 2374 | 2374 | PURCHASE | -2374
23 | 2025-01-15 | 2025-01-15 | Achat marchandises (cabane) | 2572 | 2572 | PURCHASE | -2572
